track_id,primary_style,artist,primary_artist,title,fold,label_status,purity_grade,status,duration,chunk_count,time_shape,bar_shape,song_shape,audio_sha256
01717e42ff56d162,dancehall,"Bad Bunny,Drake",Bad Bunny,MIA (feat. Drake),1,model_audited,A,cached,210.3678741455078,,"[421, 13, 768]","[85, 13, 768]","[13, 768]",01717e42ff56d1620e688fe7199119d75942899eaa2e9eb7312e3c1aa8a1c3cd
042c62464b524ce4,boombap,Lords of the Underground,Lords of the Underground,What I'm After,3,model_audited,A,cached,260.4000549316406,,"[521, 13, 768]","[104, 13, 768]","[13, 768]",042c62464b524ce46103dfe910b094b7bf03ea4c35ed6b4c84293a55e9870709
074b5867a7993833,jazz_hiphop,"Robert de Boron,Othello",Robert de Boron,Prayer Vox feat. Vivian Chen ~infused by Caccini πÇîAve MariaπÇì~,3,model_audited,A,cached,252.2400360107422,,"[505, 13, 768]","[96, 13, 768]","[13, 768]",074b5867a7993833d698bc24ec882c86cdfd4a6c5bb56eaa81a35928cba1910d
09371f0f29e2c6a4,jersey_club,Bandmanrill,Bandmanrill,FREE BRO,2,model_audited,A,cached,103.08728790283203,,"[207, 13, 768]","[58, 13, 768]","[13, 768]",09371f0f29e2c6a482f012b7363c8a9aa0451bf3010bff8ac9e8c6f25bff7e56
0d8966dace278086,breakbeat,2 Bad Mice,2 Bad Mice,No Respect,1,model_audited,A,cached,359.82342529296875,,"[720, 13, 768]","[193, 13, 768]","[13, 768]",0d8966dace27808689980d4c9d93cb300efbcd502036db44ea364b2563b98e1b
1016c9c0d9a4ecd6,house,Phonique,Phonique,For The Time Being,3,model_audited,A,cached,413.0726318359375,,"[827, 13, 768]","[213, 13, 768]","[13, 768]",1016c9c0d9a4ecd66bc5408881df51ae132386aa8b960e5cecaa0df74691b03b
120cc0677da8aa7f,baile_funk,Lazuli,Lazuli,No Me Tocas,2,model_audited,A,cached,119.33025360107422,,"[239, 13, 768]","[65, 13, 768]","[13, 768]",120cc0677da8aa7fb3f501b0f28494eb6581c70c17f7423892dc54497e73b45d
160ae213bbe0b921,afro_afrobeats,"Rema,Selena Gomez",Rema,Calm Down,2,model_audited,A,cached,239.3177947998047,,"[479, 13, 768]","[105, 13, 768]","[13, 768]",160ae213bbe0b921dd79ef923ae4cab80dc56461e43b66a7ebc0f078877f0cbb
164314a928b8d35d,trap,Nicki Minaj,Nicki Minaj,Yikes,2,model_audited,A,cached,156.8820037841797,,"[314, 13, 768]","[58, 13, 768]","[13, 768]",164314a928b8d35d764afe28b87fd2d70f45c57f0501410a24ed872541efb25a
19dd6399e3f1caa0,amapiano,"Boohle,Busta 929,Reece Madlisa",Boohle,Hamba Nobani,1,model_audited,A,cached,387.9495849609375,,"[776, 13, 768]","[186, 13, 768]","[13, 768]",19dd6399e3f1caa0a9fad6aa7e05011eb08f992decf83808273eba58a16ff90b
